IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
16361,10.0,10.0,0.0,0.0,0.0,5498,2.0,0.0,0.0,Severe Storm(s),2017.0
196467,36.0,29.0,6.0,1.0,0.0,1840,2.0,0.0,0.0,Severe Storm(s),2017.0
314455,41.0,28.0,12.0,1.0,0.0,294014,100.0,0.0,0.0,Severe Storm(s),2017.0
125896,12.0,7.0,3.0,2.0,0.0,0,0,0,0,Severe Storm(s),2017.0
47806,12.0,10.0,2.0,0.0,0.0,27338,8.0,0.0,0.0,Severe Storm(s),2017.0
91877,16.0,12.0,4.0,0.0,0.0,48210,12.0,0.0,0.0,Severe Storm(s),2017.0
58682,11.0,9.0,2.0,0.0,0.0,3704,4.0,0.0,0.0,Severe Storm(s),2017.0
268467,78.0,74.0,3.0,1.0,0.0,113632,56.0,0.0,0.0,Severe Storm(s),2017.0
781965,88.0,46.0,39.0,3.0,0.0,352952,120.0,0.0,0.0,Severe Storm(s),2017.0
190304,35.0,28.0,7.0,0.0,0.0,424182,88.0,0.0,0.0,Severe Storm(s),2017.0
447830,158.0,147.0,10.0,1.0,0.0,271672,108.0,0.0,0.0,Severe Storm(s),2017.0
110905,19.0,17.0,1.0,1.0,1.0,13204,6.0,0.0,0.0,Severe Storm(s),2017.0
94475,26.0,24.0,2.0,0.0,0.0,26442,12.0,0.0,0.0,Severe Storm(s),2017.0
66727,8.0,6.0,1.0,1.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2017.0
670275,197.0,184.0,12.0,1.0,0.0,12419,8.0,0.0,0.0,Severe Storm(s),2017.0
74799,25.0,24.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2017.0
1033392,411.0,400.0,11.0,0.0,0.0,262817,96.0,0.0,0.0,Severe Storm(s),2017.0
3063033,810.0,748.0,55.0,7.0,2.0,94645,32.0,0.0,0.0,Severe Storm(s),2017.0
342138,39.0,25.0,11.0,3.0,1.0,20753,6.0,0.0,0.0,Severe Storm(s),2017.0
649835,127.0,110.0,12.0,5.0,2.0,76001,15.0,0.0,0.0,Severe Storm(s),2017.0
556471,131.0,118.0,13.0,0.0,0.0,24788,12.0,0.0,0.0,Severe Storm(s),2017.0
887050,107.0,81.0,13.0,13.0,3.0,155714,32.0,0.0,0.0,Severe Storm(s),2017.0
23539078,4848.0,4172.0,442.0,234.0,145.0,6244961,2457.0,1.0,0.0,Hurricane,2017.0
1034574,246.0,217.0,17.0,12.0,6.0,147171,77.0,0.0,0.0,Hurricane,2017.0
686537,230.0,211.0,18.0,1.0,0.0,116132,59.0,0.0,0.0,Hurricane,2017.0
713241,417.0,409.0,7.0,1.0,0.0,142334,189.0,0.0,0.0,Hurricane,2017.0
65254466,12530.0,10060.0,1932.0,538.0,187.0,8983036,6275.0,3.0,0.0,Hurricane,2017.0
282150,60.0,51.0,8.0,1.0,0.0,14175,3.0,0.0,0.0,Hurricane,2017.0
3893648,1930.0,1870.0,50.0,10.0,4.0,1009420,1017.0,0.0,0.0,Hurricane,2017.0
23549656,2559.0,1514.0,844.0,201.0,89.0,2018795,657.0,1.0,0.0,Hurricane,2017.0
1158233,222.0,173.0,41.0,8.0,2.0,495407,210.0,0.0,0.0,Hurricane,2017.0
644071,279.0,266.0,12.0,1.0,0.0,129462,104.0,0.0,0.0,Hurricane,2017.0
4808045,307.0,146.0,47.0,114.0,73.0,278709,89.0,0.0,0.0,Hurricane,2017.0
87753355,15544.0,11847.0,2947.0,750.0,208.0,9141557,7350.0,8.0,2.0,Hurricane,2017.0
88318632,12420.0,8744.0,3033.0,643.0,214.0,19815753,8180.0,6.0,0.0,Hurricane,2017.0
591520,281.0,275.0,5.0,1.0,0.0,96038,82.0,0.0,0.0,Hurricane,2017.0
254728,112.0,105.0,7.0,0.0,0.0,46626,55.0,0.0,0.0,Hurricane,2017.0
625044,119.0,100.0,17.0,2.0,0.0,24653,12.0,0.0,0.0,Hurricane,2017.0
33177228,3614.0,2477.0,512.0,625.0,388.0,2353641,1126.0,1.0,1.0,Hurricane,2017.0
579104624,87366.0,64519.0,17475.0,5372.0,2175.0,192057020,93166.0,124.0,34.0,Hurricane,2017.0
449071,399.0,395.0,3.0,1.0,0.0,268118,378.0,0.0,0.0,Hurricane,2017.0
4179795,1151.0,1012.0,114.0,25.0,8.0,442358,443.0,0.0,0.0,Hurricane,2017.0
143100757,18086.0,12135.0,4357.0,1594.0,697.0,34271617,14167.0,9.0,2.0,Hurricane,2017.0
216324,83.0,81.0,1.0,1.0,1.0,29829,26.0,0.0,0.0,Hurricane,2017.0
316129,247.0,244.0,3.0,0.0,0.0,114457,181.0,0.0,0.0,Hurricane,2017.0
118710,68.0,66.0,2.0,0.0,0.0,22820,34.0,0.0,0.0,Hurricane,2017.0
269079,68.0,61.0,5.0,2.0,1.0,23741,14.0,0.0,0.0,Hurricane,2017.0
26578209,3848.0,2858.0,759.0,231.0,92.0,2907645,1147.0,0.0,0.0,Hurricane,2017.0
4352274,2868.0,2755.0,103.0,10.0,4.0,1359419,1973.0,0.0,0.0,Hurricane,2017.0
32585405,5171.0,4018.0,796.0,357.0,181.0,6066320,2557.0,2.0,0.0,Hurricane,2017.0
3853197,862.0,735.0,98.0,29.0,13.0,213705,122.0,0.0,0.0,Hurricane,2017.0
11372937,6750.0,6558.0,160.0,32.0,12.0,7026099,7349.0,0.0,0.0,Hurricane,2017.0
111665683,12574.0,7950.0,3263.0,1361.0,583.0,13079652,5036.0,1.0,1.0,Hurricane,2017.0
2892425,538.0,447.0,60.0,31.0,13.0,215343,156.0,0.0,0.0,Hurricane,2017.0
4438717,1059.0,955.0,70.0,34.0,21.0,910645,498.0,0.0,0.0,Hurricane,2017.0
