disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
4334,Open,,1151232,1211326.7,57561,0,994742.7000000001,115023,0,0,5365c1e143f449323d1b9042f3cc203f,2019-11-05T20:31:49.137Z
1341,Closed,2003-11-05T05:00:00.000Z,12259,13056,0,0,12176,0,380,500,7f8febadabbf100195a11d34d6b69a29,2019-10-10T19:40:44.672Z
4025,Closed,2018-11-15T05:00:00.000Z,11217543,9303493,289019,0,8465937,548537,0,0,fb856065cd2e793a784c9ca470bcf520,2019-10-10T19:40:44.959Z
1811,Closed,2014-05-01T04:00:00.000Z,1144273,1134370,2809,78690,996916,55955,0,0,0f511ba251cc02e9e9dc521d035d4f86,2019-10-10T19:40:45.289Z
4391,Open,,206421,0,0,0,0,0,0,0,16e4f96e747a69e10a5fdc3d0883847d,2019-10-10T19:40:44.967Z
1730,Closed,2015-05-19T04:00:00.000Z,705251,454660,28671,49350,352854,9126,660,13999,1a1c9ce0cfb86a6475b9f8da24098c56,2019-10-10T19:40:44.997Z
1795,Closed,2017-11-09T05:00:00.000Z,8697584,3249259,252957,232429,2339371,424502,0,0,0c4b70145a012085f1f6dd65f9fac416,2019-10-10T19:40:44.985Z
4090,Open,,981133,874739,41207,68487,758545,6500,0,0,a5ca134222d3f6963b5a819a77d3d4ac,2019-10-10T19:40:45.047Z
1676,Closed,2014-05-13T04:00:00.000Z,21771250,16724761,64253,1218750,15425113,0,1750,14895,204aa25c0a50149322c2bf011a16d77a,2019-10-10T19:40:45.290Z
979,Open,,12416818,11492224,0,0,11017067,39180,92880,343097,4dc00490fb7750d97e3532fe77434f0c,2019-10-10T19:40:44.954Z
1157,Closed,1999-01-21T05:00:00.000Z,0,0,0,0,0,0,0,0,faa70bf3044e1ef842d5592d3388784f,2019-10-10T19:40:44.680Z
1812,Closed,2016-12-19T05:00:00.000Z,2352978,2232817,0,0,2229594,3223,0,0,4afaa4bc107e419547dd89d34829a588,2019-10-10T19:40:44.962Z
4386,Open,,4230588,4603547.62,132838.39,34293.75,4039192.48,389798,0,0,d0b6d7b1719d1f46c4cd9211d00bd49d,2020-01-01T20:44:01.719Z
1537,Closed,2013-11-05T05:00:00.000Z,254677,215809,24729,0,158591,20521,4810,7158,3cc0369ada214091dd4f94a00bb7c032,2019-10-10T19:40:44.915Z
1670,Closed,2012-09-04T04:00:00.000Z,3959070,0,0,0,0,0,0,0,e437e9f9ff0978133237345212191387,2019-10-10T19:40:44.941Z
4246,Open,,387118,406048,0,0,387118,18930,0,0,a121f7153dcbdeb907811bb1ab4a3773,2019-10-10T19:40:44.976Z
4140,Closed,2019-08-12T04:00:00.000Z,809763,54218.73,0,38012.87,0,16205.86,0,0,67facf5df9524b17082c0baf1a7f5820,2019-10-10T19:40:44.719Z
4342,Open,,412393,20166,0,0,0,20166,0,0,fe6e160f5e5d5d5c0910baf7a07fdf78,2019-10-10T19:40:44.990Z
4148,Closed,2019-11-26T05:00:00.000Z,899235,72958.15000000001,0,29655.66,0,43302.49,0,0,42aa07242bca3ad441dbe93dcf225e83,2019-11-26T20:47:27.658Z
4273,Open,,52250438,19477067.3,756693,45000,17402751.3,1272623,0,0,cf25f58d39f2f40fae534ebf0da4d5b2,2019-12-21T20:32:03.882Z
1099,Closed,2001-06-04T04:00:00.000Z,10375053,10736206,290351,0,9865339,217436,89235,273845,58a73c7ced31abbfea0b665c7826c6e7,2019-10-10T19:40:44.555Z
1877,Closed,2014-12-12T05:00:00.000Z,1466250,1505411,0,66857,1372128,66426,0,0,e1578292b4f8b26cb79e0afa937dd9b4,2019-10-10T19:40:44.960Z
4132,Open,,499910,384030,0,0,384030,0,0,0,cd965abfba8ea612b394224e48538886,2019-10-10T19:40:44.727Z
4094,Open,,3341914,3505333.97,0,0,3341913.97,163420,0,0,5fa3e49222993a95347c60c9f52a75d7,2019-10-10T19:40:44.944Z
4431,Open,,7829400,0,0,0,0,0,0,0,1a73bdfa53e362a389a8b51666c3693b,2020-01-03T20:32:25.690Z
915,Closed,2001-06-13T04:00:00.000Z,330690,357148,0,0,330690,0,7983,18475,a3441b53345ef94d57ca4189d7efe2c8,2019-10-10T19:40:44.993Z
1675,Closed,2016-09-27T04:00:00.000Z,41025918,32870167,835467,2642539,28898103,353109,9464,131485,bd2995369ea1b87309044c5e9f0ebc31,2019-10-10T19:40:44.937Z
1803,Closed,2018-09-28T04:00:00.000Z,1076064,725370.39,25050,53888,623932.39,22500,0,0,3c892b1eceaffa39daaa36751f0e7fe6,2019-10-10T19:40:45.034Z
4318,Open,,4716114,4682348.67,0,206250,4245480.67,230618,0,0,dcba64dba30ef0428c6268d3005a6aff,2019-11-09T20:31:52.061Z
1574,Closed,2009-06-16T04:00:00.000Z,955734,797224,0,0,774838,0,16950,5436,f225b4f014b3fd519ce004335fc8667b,2019-10-10T19:40:44.695Z
1578,Closed,2010-10-07T04:00:00.000Z,212670,144298,4116,0,126573,4964,3712,4933,f6df7b83327c1a8d4fa94f289ebe4323,2019-10-10T19:40:44.691Z
4010,Closed,2015-09-08T04:00:00.000Z,1103298,1063703,25700,0,1007120,30883,0,0,2b751b77d57c0e016bd2bbb4bea00512,2019-10-10T19:40:44.996Z
4015,Closed,2019-03-18T04:00:00.000Z,2026125,1762074.0899999999,0,0,1662996.0899999999,99078,0,0,7353944f19afc28e4fa2410b9eda8fc1,2019-10-10T19:40:44.986Z
1774,Closed,2012-01-13T05:00:00.000Z,752281,541355,19657,41693,480005,0,0,0,79bec9c879ed4f8b03a01a5fcf394edf,2019-10-10T19:40:45.010Z
1328,Closed,2005-10-17T04:00:00.000Z,858458,888289,0,0,850582,0,13024,24683,c9373755abcfb1949a8f538777fb7897,2019-10-10T19:40:45.078Z
1630,Closed,2012-03-15T04:00:00.000Z,147329,138344,0,0,129883,0,3822,4639,d1becb47da5981cf66fd7c5f24a63f99,2019-10-10T19:40:44.995Z
1813,Closed,2017-09-28T04:00:00.000Z,8325842,5612828,245876,63073,4989921,313958,0,0,8212fad79ae02e59964574ce7bbc6f77,2019-10-10T19:40:45.079Z
4134,Closed,2018-10-10T04:00:00.000Z,1094717,816544.5700000001,54736,0,708509.5700000001,53299,0,0,e8c7834a71b267d410c20443d328d4d0,2019-10-10T19:40:44.578Z
1103,Closed,1996-02-23T05:00:00.000Z,0,0,0,0,0,0,0,0,5a7e81d1222398e7fd8f4147d8050ee8,2019-10-10T19:40:44.547Z
1736,Closed,2014-08-19T04:00:00.000Z,4179038,2137722,0,182597,1929311,25814,0,0,4dd451d305e93ae6370089dd70c489c4,2019-10-10T19:40:45.011Z
1256,Closed,2004-11-29T05:00:00.000Z,624060,645473,26436,0,597624,0,2036,19377,4600ebfeff4ce62f8965f97002f5423d,2019-10-10T19:40:44.721Z
4382,Open,,40492823,445234.87,6159.75,342100.12,0,96975,0,0,1b1c70b09ff3833e68eeea721cf9b8ff,2019-12-28T20:32:20.961Z
1429,Closed,2008-10-21T04:00:00.000Z,496952,513181,15750,32906,407051,41245,4085,12144,a480355a7398f241e8f498c2d03999dc,2019-10-10T19:40:44.689Z
4146,Closed,2019-01-28T05:00:00.000Z,1468627,748915.25,32369.25,93750,564463,58333,0,0,aee45f02fae9d6dcbb4fdb058cc07e17,2019-10-10T19:40:44.707Z
1827,Closed,2018-01-25T05:00:00.000Z,2351719,1671236,0,37500,1633735,1,0,0,942926b4a667e5b3acee8f367863b121,2019-10-10T19:40:44.920Z
1677,Closed,2014-03-25T04:00:00.000Z,1423811,237184,64847,89668,0,74543,4186,3940,4904e0b92c94e688bfb62f05607fdaa4,2019-10-10T19:40:45.064Z
4434,Open,,10625234,0,0,0,0,0,0,0,2f724f1d4273fcc1cb96236ab2de9e69,2020-01-03T20:32:25.703Z
4400,Open,,55127849,335333.25,35333.25,0,300000,0,0,0,bb2c0af9719b42b0dc68ad794398810a,2019-12-19T20:44:21.655Z
1130,Closed,2002-12-31T05:00:00.000Z,2702413,2817093,0,0,2641141,61272,38783,75897,c6d3cec24d9a1f6961e6e2693a9ff1d6,2019-10-10T19:40:44.972Z
1734,Closed,2017-09-29T04:00:00.000Z,11976387,9535992,69204,743286,8175683,547819,0,0,edb75a014db81b10adb75a648a93f239,2019-10-10T19:40:44.990Z
1793,Closed,2014-11-17T05:00:00.000Z,605482,608954,0,0,605482,3472,0,0,032cb2a93de09098b3e11330f0c3597e,2019-10-10T19:40:44.927Z
1430,Closed,2006-09-01T04:00:00.000Z,121998,105972,0,0,75605,25664,2396,2307,5fb714b573a97bd2e080e97f7decee0e,2019-10-10T19:40:44.702Z
1873,Closed,2018-11-14T05:00:00.000Z,2079101,412057.48,0,0,342675,69382.48,0,0,4a34aa1d56eca7278194c06b4416db78,2019-10-10T19:40:45.076Z
1970,Closed,2019-03-26T04:00:00.000Z,1040608,883701.35,21235,46321,779003.48,37141.87,0,0,2661db4bcbd3b2f265a237f6b7007356,2019-10-10T19:40:45.293Z
1121,Closed,2004-11-24T05:00:00.000Z,484760,509154,20291,0,385525,78944,10964,13430,fb1d56d68923dcc4820984a3411e61cb,2019-10-10T19:40:44.924Z
4046,Open,,12773052,11256003.19,380579,712800,9538022.19,624602,0,0,4f2db67cfcd8037d15427d11dd5efa6b,2019-12-04T20:31:40.070Z
1240,Closed,2006-05-24T04:00:00.000Z,3599215,3479614,181167,0,3038444,0,44051,215952,9a2566d4207d93aa6d3eaed9e92959c3,2019-10-10T19:40:44.989Z
1644,Closed,2011-03-02T05:00:00.000Z,362064,85895,0,0,82425,0,272,3198,9377bdb372bfde4f42132138ea15502c,2019-10-10T19:40:45.039Z
4081,Closed,2018-09-21T04:00:00.000Z,8955033,6780294,402905,37313,6299540,40536,0,0,e80aa2ac559f32333261a78bb6124bef,2019-10-10T19:40:44.924Z
1971,Open,,74009510,73390352,6195497,1221695,62354095,3619065,0,0,53955660bb276598819f5a6569f347bf,2019-11-20T20:32:48.603Z
1381,Closed,2010-08-02T04:00:00.000Z,9505039,4038077,475252,619743,2198559,653955,44866,45702,d1489423d78526f5be13c1eb7508eb09,2019-10-10T19:40:45.063Z
1047,Closed,2005-05-26T04:00:00.000Z,375120,393509,18756,0,353353,0,8696,12704,d26c43925749171da344e3c0aebb6fec,2019-10-10T19:40:44.669Z
1362,Closed,2008-03-21T04:00:00.000Z,697771,106606,0,0,99872,0,3071,3663,6d49377712f9b80258b8d0887020f8ea,2019-10-10T19:40:44.673Z
1968,Open,,7338737,7259611.75,314625.75,501188,6084934,358864,0,0,7cf7c77207335d5a877b95000e10776e,2019-10-10T19:40:44.948Z
4044,Open,,877302,877302,0,0,877302,0,0,0,16f066a2502da8347e78033f9ddcb70e,2019-10-10T19:40:44.971Z
1225,Closed,2008-03-06T05:00:00.000Z,4018116,3462584,103126,0,3232225,0,23606,103627,24dff25967d40290a7d855a37defac7d,2019-10-10T19:40:45.060Z
1149,Closed,2001-04-17T04:00:00.000Z,497849,524046,8287,0,489562,0,11256,14941,5391e870bae7b8bde258b4275fb7529b,2019-10-10T19:40:44.949Z
1982,Closed,2017-09-22T04:00:00.000Z,3104513,574042,92438,48422,281620,151562,0,0,510a15932bb131db3c9cc402949400bd,2019-10-10T19:40:45.067Z
1106,Closed,2001-06-13T04:00:00.000Z,222414,236936,16500,0,205914,0,5626,8896,55954c36e54e3a0cda914804941ceae7,2019-10-10T19:40:44.920Z
1463,Closed,2009-09-23T04:00:00.000Z,1995550,1697118,57742,98214,1532431,0,3710,5021,4b21725df3159ae615583e96b3c533fa,2019-10-10T19:40:44.595Z
4032,Closed,2016-03-01T05:00:00.000Z,297418,300596,0,0,297416,3180,0,0,1aec3523a5af8436659af7f906dda0f5,2019-10-10T19:40:44.683Z
1037,Closed,1998-12-22T05:00:00.000Z,866700,827383,0,0,783413,0,17204,26766,66cf5345b5162b34b7fd02f429414dde,2019-10-10T19:40:44.943Z
966,Closed,2002-05-10T04:00:00.000Z,155470,93543,0,0,81276,0,4268,7999,55fed9c4c76423212a75e233fd905486,2019-10-10T19:40:45.034Z
1442,Closed,2009-11-18T05:00:00.000Z,2393022,2304130,98993,165153,1465790,499020,28763,46411,f36b811ae70611e4458e9cc5f765b870,2019-10-10T19:40:45.059Z
4038,Closed,2018-08-15T04:00:00.000Z,1658813,1441802,80180,0,1326781,34841,0,0,184440873a240e6de8f7bd76205f8246,2019-10-10T19:40:44.928Z
924,Closed,1998-12-04T05:00:00.000Z,752689,718484,0,0,678350,0,15082,25052,3ada12c41e570237d5526cae90c37323,2019-10-10T19:40:44.584Z
4041,Closed,2018-09-19T04:00:00.000Z,900000,849612.04,0,0,839208,10404.04,0,0,afb048bdb73b83ee1ed4cda0db633e0c,2019-10-10T19:40:45.050Z
1079,Closed,2002-06-07T04:00:00.000Z,4991965,5138994,84904,0,4739251,128468,61584,124787,a842fa511c8673f37894ebd4ed906bf4,2019-10-10T19:40:45.070Z
4114,Closed,2019-01-29T05:00:00.000Z,2812073,2789576,0,41722,2610344,137510,0,0,07b887d1cce8e34b10109f29532bd0bc,2019-10-10T19:40:45.002Z
1234,Closed,2003-02-17T05:00:00.000Z,743291,379484,0,0,342536,0,16215,20733,1a4c220eea05721177657372ae17f2f7,2019-10-10T19:40:44.976Z
1073,Closed,2002-09-12T04:00:00.000Z,1006536,1057727,0,0,1006522,0,21364,29841,183e3f1a73cf5e0e7a40697f0e6ba7ed,2019-10-10T19:40:44.995Z
1269,Closed,2015-12-01T05:00:00.000Z,1065158,1037030,0,0,992298,0,14513,30219,51f94f2fae60e0dbc97d529f3af9a44d,2019-10-10T19:40:44.999Z
898,Closed,2001-05-21T04:00:00.000Z,1207223,1138882,55400,0,1010882,0,22167,50433,e735d40c146c214db763c3b92322f4a8,2019-10-10T19:40:44.996Z
1643,Closed,2013-06-07T04:00:00.000Z,1666844,1662883,5933,0,1575883,0,27699,53368,29e06ce14acf609ec14ef1873b89d31c,2019-10-10T19:40:45.004Z
1972,Closed,2017-07-25T04:00:00.000Z,7472939,2809443,726369,70557,1854676,157841,0,0,7761bf96de93c9bda40116ea244cdb76,2019-10-10T19:40:44.998Z
938,Closed,2000-11-02T05:00:00.000Z,252317,226998,0,0,210817,0,5431,10750,3979c3abd9e2518e04c411051a8ad902,2019-10-10T19:40:44.943Z
1990,Closed,2016-07-15T04:00:00.000Z,1400977,147565,15412,64314,0,67839,0,0,f7d5a37fc360a24bd854a568f22ed1df,2019-10-10T19:40:45.014Z
1701,Closed,2015-09-24T04:00:00.000Z,1364794,439600,14570,0,412994,0,203,11833,909d49cf1eae9d00e6adfe5dcf9d203f,2019-10-10T19:40:44.990Z
1632,Closed,2014-01-13T05:00:00.000Z,1511700,1197009,0,105819,1051730,0,5594,33866,708d8d5690bd02daf9fd27048b5abacd,2019-10-10T19:40:45.061Z
4230,Open,,1572835,1568836.6,63081,0,1429878.12,75877.48,0,0,4cd358fb5573d250a54719bab20db2b2,2019-10-10T19:40:45.023Z
1612,Closed,2012-11-05T05:00:00.000Z,312215,233931,0,0,226718,0,7213,0,25f42b353d793447baca21855f1c3030,2019-10-10T19:40:45.027Z
4033,Closed,2018-09-21T04:00:00.000Z,1555988,617221,0,0,563743,53478,0,0,2f79b651adbc973ef4ac88adbfbabc35,2019-10-10T19:40:45.010Z
1032,Closed,2001-02-14T05:00:00.000Z,512600,540471,25630,0,486970,0,11578,16293,c03f967038792016f4b26910b681fd2b,2019-10-10T19:40:44.992Z
1364,Closed,2009-04-14T04:00:00.000Z,1562356,1615134,6321,57788,1247382,238603,20496,44544,9b9c6ef8c82ff7206669760aa5ab6a6b,2019-10-10T19:40:44.945Z
1631,Closed,2012-08-23T04:00:00.000Z,1290726,970594,0,0,968042,0,161,2391,d8e0bacf055b7d8d72bff334cad071aa,2019-10-10T19:40:45.030Z
1058,Closed,2003-03-21T05:00:00.000Z,1144903,1149099,30000,0,1063520,0,22268,33311,6cfd2bc78c8b96f019ff296b10977396,2019-10-10T19:40:45.068Z
1671,Closed,2017-09-29T04:00:00.000Z,7129755,4299208,72884,46298,3919828,215433,2725,42040,ad8b193e6fb5c4e6bdc16da92e843d84,2019-10-10T19:40:45.000Z
1301,Closed,2012-05-16T04:00:00.000Z,296873,7803,7412,0,0,0,1,390,799ba16ac220d8dc102f66cc4a4cb57c,2019-10-10T19:40:44.946Z
1988,Closed,2018-09-28T04:00:00.000Z,591217,476492.68,27027,26478,405660,17327.68,0,0,e272bb1651ee877a9d92411498a92db6,2019-10-10T19:40:44.982Z
1418,Closed,2011-04-20T04:00:00.000Z,861988,888018,36868,15000,807246,0,3319,25585,5971f302ea86e4cfc6b3c83f7168d662,2019-10-10T19:40:44.707Z
1401,Closed,2012-11-08T05:00:00.000Z,20563266,19414568,613582,1296042,16345299,516635,131216,511794,48005ada34a4a4339072f3f9d55e1679,2019-10-10T19:40:44.669Z
1156,Closed,2997-01-10T05:00:00.000Z,0,0,0,0,0,0,0,0,3e6fe87586d137a881a7f96453f0418b,2019-10-10T19:40:45.033Z
4402,Open,,10334983,0,0,0,0,0,0,0,232557b3696002833fdf21ec9e04652a,2019-11-26T20:47:27.923Z
1431,Closed,2003-10-10T04:00:00.000Z,147350,157886,0,0,147350,0,4076,6460,8f12fab31b4a1a274d1e1e3b21249328,2019-10-10T19:40:44.963Z
1143,Closed,2004-09-08T04:00:00.000Z,1479503,1554488,70600,0,1408902,0,26282,48704,2d849e81b900ce4952b1df3512266dab,2019-10-10T19:40:44.966Z
1788,Closed,2010-11-20T05:00:00.000Z,398741,0,0,0,0,0,0,0,303f6b7e69d96c031295d3c6b17421e3,2019-10-10T19:40:44.938Z
4216,Open,,927812,321355.31,43957.9,0,235027.41,42370,0,0,d8816560183c2bb149e81150a9c751cc,2019-10-10T19:40:44.936Z
947,Closed,2006-02-21T05:00:00.000Z,1017375,1080684,0,0,1014046,0,21591,45047,d84d41a5fdf713475255e6fe7c0fb1d7,2019-10-10T19:40:45.068Z
4138,Open,,7289149,7585299.9,0,0,7228860.9,356439,0,0,e50989a0e448e96c5659570c0f443a8e,2019-10-10T19:40:44.548Z
1880,Closed,2017-09-13T04:00:00.000Z,25902736,21711154,3609,397507,20905790,404248,0,0,1356d12bf79a7c07237e42ba4984825a,2019-10-10T19:40:45.063Z
922,Closed,1998-01-22T05:00:00.000Z,70616,76674,0,0,70616,0,2233,3825,ef6d64b1d8e09f11be0220290d5f493f,2019-10-10T19:40:44.958Z
1645,Closed,2012-10-22T04:00:00.000Z,522260,373069,5689,29621,309924,10715,4841,12279,d219ccdc8068c663d494d0edefddd8a6,2019-10-10T19:40:45.066Z
1223,Closed,2004-03-15T05:00:00.000Z,1738700,1786788,86919,0,1633165,0,28766,37938,5a5752e3a11beda3b5068e8ab97b7c24,2019-10-10T19:40:45.073Z
913,Closed,1999-01-26T05:00:00.000Z,285899,308329,4393,0,281506,0,7026,15404,f86ea589f770d00755ec1478329363b2,2019-10-10T19:40:45.294Z
999,Closed,2001-07-16T04:00:00.000Z,4547876,4733639,0,0,4498084,47876,57759,129920,65b42e457beeb42a7ab0c534637c0366,2019-10-10T19:40:45.065Z
1131,Closed,1999-03-09T05:00:00.000Z,318395,285451,0,0,258395,11589,6577,8890,1bd2807d7372ef7748f9a1826e7e49a2,2019-10-10T19:40:44.707Z
1174,Closed,2012-07-31T04:00:00.000Z,47907326,42532037,2222645,0,38912873,566728,247423,582368,934328027b95237db925b92957ea0eda,2019-10-10T19:40:45.067Z
4036,Open,,435555,98442.04000000001,21778,0,55378.450000000004,21285.59,0,0,b124c86f8f49d58c9e4482b5abd21e31,2019-10-10T19:40:45.018Z
4040,Closed,2017-12-20T05:00:00.000Z,233569,86362,11544,0,63397,11421,0,0,f02e7e46867fa8be25cac636bdc28202,2019-10-10T19:40:45.028Z
1859,Open,,19180137,10747530.92,0,320940,9701155.92,725435,0,0,ec9f12eccb0d12542f079a012dcc5217,2019-10-10T19:40:44.976Z
1881,Closed,2015-07-07T04:00:00.000Z,511054,255138,6631,0,248507,0,0,0,e3e744f8033f80b28ee5284ed52f6021,2019-10-10T19:40:44.975Z
1861,Closed,2016-11-03T04:00:00.000Z,2245692,1217406,0,33000,1170687,13719,0,0,a53189b37b3ef3f235916f23605fd4b4,2019-10-10T19:40:45.050Z
1152,Closed,2002-07-30T04:00:00.000Z,1280067,1340653,0,0,1199713,80067,24165,36708,8832257e5692098b73bcd2f9f0e47876,2019-10-10T19:40:45.016Z
1822,Closed,2016-03-07T05:00:00.000Z,32941350,27004063,0,566579,25953952,483532,0,0,1b46280fb39c90f43e18a9f9f2b18e21,2019-10-10T19:40:45.023Z
1134,Closed,2009-08-11T04:00:00.000Z,82051989,75475623,5733879,0,66500995,1747945,412200,1080604,a0bf452c378b2f085f292a8670ecfb36,2019-10-10T19:40:44.941Z
1828,Closed,2017-09-22T04:00:00.000Z,1676481,929579,0,60250,787608,81721,0,0,229a1d6a7040ad989dc3eeb769f6cce3,2019-10-10T19:40:45.029Z
4219,Open,,1531936,1559640,0,58307,1441154,60179,0,0,8694664b7b2c518b9e70fa838775c815,2019-10-10T19:40:45.025Z
1985,Closed,2019-05-06T04:00:00.000Z,501951,405892.16000000003,21593,0,368342.5,15956.66,0,0,1d50f615f04f433fedbb06254b9aa879,2019-10-10T19:40:45.006Z
4123,Closed,2015-02-03T05:00:00.000Z,46597,0,0,0,0,0,0,0,5c9fa8e5ac83720be55eb158bd958177,2019-10-10T19:40:45.023Z
1781,Closed,2016-05-12T04:00:00.000Z,255568,192093,12563,0,169243,10287,0,0,3aa96e64c85f28bac357233d4e91c08f,2019-10-10T19:40:44.928Z
1872,Closed,2016-02-23T05:00:00.000Z,1412465,1418762,0,0,1410253,8509,0,0,e48e4be093f46be0b9e82bec606c4f42,2019-10-10T19:40:44.957Z
4435,Open,,6335278,153782,0,0,0,153782,0,0,bee0ed00d0d9923e1c91dc7a44942450,2019-12-13T20:31:35.406Z
1309,Closed,2004-03-12T05:00:00.000Z,1788622,1847365,0,0,1670487,118135,29182,29561,f86dd39f737fa977d76a220edc593d96,2019-10-10T19:40:45.292Z
1288,Closed,2008-03-06T05:00:00.000Z,1422187,1359545,0,0,1233737,67648,19260,38900,6f56db9071f6aae1d83ebdb89e716107,2019-10-10T19:40:44.671Z
861,Closed,2004-05-13T04:00:00.000Z,1691666,1536474,84583,0,1358879,0,26893,66119,85eb406089d6909d1f04f0944f37b408,2019-10-10T19:40:45.074Z
891,Closed,1995-08-01T04:00:00.000Z,250833,236490,0,0,221032,0,5617,9841,ef9734e369b1836909677834e9fca7d4,2019-10-10T19:40:44.720Z
826,Closed,1997-08-26T04:00:00.000Z,258547,277307,0,0,258547,0,6418,12342,4b9904728a44d70f5ee194cea553bb3e,2019-10-10T19:40:44.918Z
4234,Open,,1493022,1458759.28,70830.02,36487.520000000004,1278432.74,73009,0,0,6f611dcca33923aff8a05482c7d0ddf6,2019-11-19T20:32:43.618Z
4228,Open,,1216154,1066415.11,0,0,1006945.11,59470,0,0,65dbce083e503f3e9cc2c71dbbe2a312,2019-12-17T20:32:32.573Z
901,Closed,1997-03-26T05:00:00.000Z,949696,1010478,0,0,949696,0,20794,39988,f4c3d1fce97f4a7c1543e2c6067ec79d,2019-10-10T19:40:44.973Z
1303,Closed,2005-12-23T05:00:00.000Z,1069496,1061424,53474,0,954461,0,20865,32624,a98ff541e03c706d7ee93053bee5dfa1,2019-10-10T19:40:45.014Z
1173,Closed,2005-09-15T04:00:00.000Z,7726843,7507890,0,0,7231526,39419,73174,163771,7ad2613344dc91c5b5e0469a429e6a4f,2019-10-10T19:40:45.035Z
1978,Closed,2017-11-27T05:00:00.000Z,1289735,1186863,0,0,1131530,55333,0,0,cf87b68390da759b1033fd49442f645c,2019-10-10T19:40:45.066Z
1433,Closed,2011-04-20T04:00:00.000Z,733140,624820,73223,45000,478363,0,9892,18342,0cdb677c62ef49eaefc975030542bba4,2019-10-10T19:40:44.976Z
1858,Closed,2018-09-21T04:00:00.000Z,33786725,27764486,109016,1651505,24351794,1652171,0,0,6b8bb9306eac55f69dfae6f2e2b3c723,2019-10-10T19:40:44.953Z
1979,Closed,2017-07-17T04:00:00.000Z,5459858,4213705,0,0,4133230,80475,0,0,a895829a4dc4d5c7c4c558386e49813f,2019-10-10T19:40:44.691Z
1437,Closed,2015-09-15T04:00:00.000Z,29856371,19929023,1282208,1707778,16495201,0,134970,308866,25ae6003ed0cfeed7a3e875e045107ed,2019-10-10T19:40:45.078Z
1678,Closed,2018-05-09T04:00:00.000Z,15545700,9858211,498686,885969,7791263,460818,82528,138947,6bc679de5a3f10681d49768fbaeafcf6,2019-10-10T19:40:44.944Z
4222,Open,,12507796,11864046,615192,74775,10562448,611631,0,0,8cda8b77ca0fb948c6c7fe5d7d79d943,2019-10-10T19:40:44.985Z
1779,Closed,2014-06-10T04:00:00.000Z,2105100,1281647,37732,85032,1156811,2072,0,0,47c796e3ea93a9a08cab95cbe9b7efdd,2019-10-10T19:40:44.924Z
1747,Closed,2016-08-04T04:00:00.000Z,918936,493658,0,64324,429334,0,0,0,0ae226e5417dde603a54737461322089,2019-10-10T19:40:45.077Z
1796,Closed,2016-02-25T05:00:00.000Z,2340984,1787687,5256,34069,1669615,78747,0,0,8f82624c8bc5e08862e83ece43d7a37f,2019-10-10T19:40:44.938Z
1457,Closed,2011-12-12T05:00:00.000Z,983372,203068,38831,0,87850,72839,267,3281,7e46913077e7c7489862e7b50a0cf027,2019-10-10T19:40:45.079Z
1658,Closed,2015-03-18T04:00:00.000Z,1198146,843339,55625,0,766481,1,12,21220,ab7601be35fd7ecfd3147392669fd1a1,2019-10-10T19:40:45.075Z
928,Closed,2005-04-06T04:00:00.000Z,690894,612739,40505,0,530723,0,12995,28516,675a7cf40cd933aa56b7e62d6edb84c9,2019-10-10T19:40:44.983Z
1997,Closed,2019-12-06T05:00:00.000Z,2212313,1807320,105159,124753,1469492,107916,0,0,c2fef51e13ccd3723b17c6e1c9caee72,2019-12-08T20:32:10.959Z
1659,Closed,2014-08-06T04:00:00.000Z,2566530,37359,0,34876,0,0,1088,1395,e7fbbd51813e38c982ca2770f15d18a2,2019-10-10T19:40:44.916Z
4016,Closed,2016-05-12T04:00:00.000Z,1688831,1518573,69921,19387,1389819,39446,0,0,1a0beee1d5fff1c811e1a47ec293651e,2019-10-10T19:40:45.044Z
4043,Closed,2019-06-12T04:00:00.000Z,148553,116340.75,0,0,116025,315.75,0,0,574c5ea1716db98f5cc4696e2c444e45,2019-10-10T19:40:45.030Z
4031,Open,,39347912,35996536.75,2585000,750000,31033012.75,1628524,0,0,07ff868ef817f75e274b57a8bca4132d,2019-10-10T19:40:44.979Z
4026,Closed,2017-07-25T04:00:00.000Z,2107500,1798709,0,0,1697551,101158,0,0,80d81c556310ad2cbfaca87a7ed70506,2019-10-10T19:40:44.926Z
4039,Closed,2017-08-16T04:00:00.000Z,1228500,1220631,0,0,1200000,20631,0,0,b040b5507d10a81606514f92bf4d2551,2019-10-10T19:40:45.078Z
1634,Closed,2012-02-28T05:00:00.000Z,721253,716476,0,34719,542062,98357,13100,28238,95bc131f4e91a195c94249f52074d56b,2019-10-10T19:40:45.052Z
1585,Closed,2013-12-17T05:00:00.000Z,4813955,3238180,228926,92175,2646239,149073,41476,80291,f8108abaf8a5c6988a0583f03f3d1fdc,2019-10-10T19:40:45.000Z
1927,Closed,2016-03-07T05:00:00.000Z,662883,223662,33144,0,180450,10068,0,0,37a39008156c07bcb7fdfa3fe357c8d3,2019-10-10T19:40:44.966Z
