disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
4296,Open,,2611342,290105,103496,0,58914,127695,0,0,ee0d745a01d8ed8109e07a460288f789,2019-10-10T19:40:45.000Z
4308,Open,,87468432,11712734.56,406500,939109.86,9007470.7,1359654,0,0,c8ca417248b20e9f4bc617b9798d4357,2019-12-19T20:44:21.762Z
1098,Closed,2002-11-30T05:00:00.000Z,664095,698127,52500,0,585250,26345,14669,19363,a9122292545cfc4a92ef5d7b4f6bdca6,2019-10-10T19:40:44.674Z
847,Closed,2001-03-30T05:00:00.000Z,268763,287124,73220,0,195543,0,6610,11751,6681ab6d7a03ad4572fd3d4886a32b43,2019-10-10T19:40:44.718Z
4299,Open,,12537792,8999071.97,600459,387519,7397995.97,613098,0,0,1e8050d6c9a32f8a18f641f555ace5d0,2019-10-10T19:40:44.946Z
1485,Closed,2009-03-13T04:00:00.000Z,2381785,2110767,6563,0,2062442,0,0,41762,6ab585cd49923009689e7b8e0da2aa35,2019-10-10T19:40:44.924Z
4305,Open,,10136842,3787524.0300000003,0,562519,2729313.0300000003,495692,0,0,794ff00547797e82a86c22801247e3aa,2019-11-28T20:31:45.578Z
1722,Closed,2015-04-20T04:00:00.000Z,273823,159288,0,0,159286,0,1,1,eac84e8b7ea781c2ce590d3c513d1419,2019-10-10T19:40:45.045Z
4317,Open,,19690739,20181836.25,272793,905819,18040347.25,962877,0,0,aca579ebad2debcf4c1e6bdc011e5a49,2019-12-04T20:31:40.145Z
1324,Closed,2006-06-09T04:00:00.000Z,1576571,1613748,63156,0,1478093,0,26869,45630,5171c28cf954b50a8a6f6d529204360f,2019-10-10T19:40:44.598Z
4300,Open,,516700,541967,25835,0,490865,25267,0,0,927e96109e8afd1c131e9e33671ddb2b,2019-10-10T19:40:44.998Z
1708,Closed,2015-01-27T05:00:00.000Z,2037787,456511,0,101295,355216,0,0,0,98f6e636acb575274f1cd90a9f4f39fc,2019-10-10T19:40:44.597Z
4251,Open,,6067611,5948417,227700,0,5424011,296706,0,0,eb3de1c77a6526be962ad6ef5a840473,2019-11-04T11:58:03.351Z
827,Closed,2002-03-22T05:00:00.000Z,144445,155247,0,0,144445,0,4024,6778,a49f273fd943434a2b06f43904556e6d,2019-10-10T19:40:44.712Z
1004,Closed,1999-08-11T04:00:00.000Z,451358,261138,0,0,246592,0,6101,8445,baad2de74c6d00d262c12ed25ff6aeb9,2019-10-10T19:40:44.968Z
4302,Open,,406864,0,0,0,0,0,0,0,fd67ffb74eb846a19018acdae8aa0777,2019-10-10T19:40:45.294Z
1366,Closed,2006-09-05T04:00:00.000Z,488822,442317,4051,0,431077,0,3785,3404,4ae2e0150ee2711522fc1dcf18a32d9b,2019-10-10T19:40:45.026Z
1250,Closed,2008-03-21T04:00:00.000Z,7207731,6689836,792612,0,5787367,0,79188,30669,8d7425d6f772de9ad6fa0b5593dd0d52,2019-10-10T19:40:44.682Z
1499,Closed,2012-08-29T04:00:00.000Z,741957,507031,0,36666,428203,19341,9619,13202,4e8016f76184b9f9c5153b6472ddb839,2019-10-10T19:40:45.017Z
985,Closed,1999-08-11T04:00:00.000Z,877466,926045,0,0,877466,0,19138,29441,8181140f869e25ececf3f3825108d0dd,2019-10-10T19:40:44.685Z
1513,Closed,2010-08-31T04:00:00.000Z,229725,161341,0,15510,145776,0,55,0,c979346ba523ffeea06f5541e3b4f6a5,2019-10-10T19:40:44.588Z
4321,Open,,394982,110298.59,25840.59,0,65235,19223,0,0,c94377a8e70c6c8e1b66d297b7119ad1,2019-11-13T20:32:45.836Z
4265,Open,,235144,12111,8591,0,0,3520,0,0,abb4206ba816d7afbc848ce802680490,2019-10-10T19:40:45.075Z
873,Closed,2002-05-24T04:00:00.000Z,299421,322559,0,0,297941,1480,7305,15833,1ea97729b98e40298a548493d60db838,2019-10-10T19:40:44.583Z
4266,Open,,6673669,6520302.14,116328,201450,5876182.14,326342,0,0,7d0fbe33fa671d7d698adb0ae558b8e2,2019-12-04T20:31:40.153Z
1153,Closed,2005-09-12T04:00:00.000Z,4022509,3984255,0,0,3769627,82500,50339,81789,5f7f7bb29fb855f4bba8fdbea0da4490,2019-10-10T19:40:44.588Z
1024,Closed,1999-04-28T04:00:00.000Z,82983,88782,0,0,82983,0,2586,3213,994ddd13d7d484a9814d85d65703296b,2019-10-10T19:40:44.702Z
890,Closed,2001-05-21T04:00:00.000Z,206668,221254,0,0,206668,0,5319,9267,4862843821b369d45627c973c030fa2d,2019-10-10T19:40:44.993Z
4320,Open,,4748700,1534901.25,16500,221587.5,1296813.75,0,0,0,153536c82b56fc6c76585447cf31309b,2019-12-19T20:44:21.762Z
1517,Closed,2008-09-29T04:00:00.000Z,1108522,1054873,1391,0,1019696,0,2514,31272,cfc6eff4e42f4a8b6e94c071c295618b,2019-10-10T19:40:44.580Z
1048,Closed,2003-01-01T05:00:00.000Z,960417,906187,0,0,864906,0,18749,22532,2e2b3999e5db7233221a7d3c58d019c9,2019-10-10T19:40:44.714Z
4330,Open,,1437665,471789.25,0,37441.5,427698.75,6649,0,0,3e1692ccf838bc4bd4854eab86694c03,2019-10-10T19:40:45.035Z
