disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,hash,lastRefresh
3048,,,,,,,,,,44aa46c8628412b1323a716e204c48f2,2019-10-10T20:03:57.806Z
3155,,,,,4668512.48,4412798.48,,2020-01-04T00:00:00.000Z,,092a8ebbffb8ade334aaa168368d2e00,2020-01-04T03:23:29.566Z
3073,,,,,,,,,,941621eb59184ed12d8c16000f27a439,2019-10-10T20:03:57.778Z
3162,,,,,3663238.24,3663238.24,,2020-01-04T00:00:00.000Z,,f1ef04359bd77518fa62825c22029401,2020-01-04T03:23:29.583Z
3098,,,,,,,,,,55ceb1bc2f902f2ff9b41b3ede9bc1ff,2019-10-10T20:03:57.735Z
3058,,,,,,,,,,850de0bb2880ce5519ea974e42f3f920,2019-10-10T20:03:57.782Z
3083,,,,,,,,,,e017b0cd5786d4b56425ba2f76187807,2019-10-10T20:03:57.783Z
3108,,,,,,,,,,45ea08878133a2649ecb28d0e61c03a3,2019-12-09T15:26:09.380Z
3133,,,,,,,,,,b95d96d657cdcb972018531183091d07,2019-12-09T15:26:09.403Z
3158,,,,,,,,,,4586e0fbb3e4885d24e69e26de4d47ee,2019-10-10T20:03:57.782Z
3066,,,,,,,,,,aa966bf7d8eb417ee49c03346696616f,2019-12-09T15:26:09.392Z
3091,,,,,,,,,,6b378be84ccdbb557ec6b04c90f1a063,2019-10-10T20:03:58.109Z
3116,,,,,,,,,,c2bf6b17edf70711ea91e0a576ea58fa,2019-12-09T15:26:09.406Z
3141,,,,,3479570.5,3479570.51,-0.01,2020-01-04T00:00:00.000Z,,aba517473eb4598441c6a0ced449148f,2020-01-04T03:23:29.564Z
3166,,,,,3433251.55,3433251.55,,2020-01-04T00:00:00.000Z,,46f56d9b698f03524ea053f2cda1b497,2020-01-04T03:23:29.572Z
3050,,,,,,,,,,c1c0941efb18e029f5e7987c5e08c3f4,2019-10-10T20:03:57.808Z
3075,,,,,,,,,,2ec12fd702b744f16d272c1ad47c6ed1,2019-10-10T20:03:57.788Z
3100,,,,,,,,,,cdf41b8add774b2aa1204afd4a67fccd,2019-12-09T15:26:09.402Z
3123,,,,,,,,,,a3fe7f160cec2e97d92d789e91c84ebb,2019-12-09T15:26:09.406Z
3125,,,,,,,,,,e8563d628f6b4c6d1717d3cd6452d450,2019-10-10T20:03:57.820Z
3148,,,,,2032513.93,1820266.98,211883.35,2020-01-04T00:00:00.000Z,,ea411ec6ca0346dadb1c5eca9c1f3817,2020-01-04T03:23:29.582Z
3150,,,,,547528.1,547528.1,,2020-01-04T00:00:00.000Z,,5bbc86e1212486bc2079601cfe31f0a7,2020-01-04T03:23:29.584Z
3169,,,,,88203232.21,90360427.93,,2020-01-04T00:00:00.000Z,,6add0e3e256cf4eb8b12b62cf27c53d6,2020-01-04T03:23:29.562Z
3115,,,,,,,,,,4478d5bd3a84ea29f9fbe0f99cce4085,2019-12-09T15:26:09.391Z
3053,,,,,,,,,,290e5f386f0c780c2d69e1672fb2ac8b,2019-10-10T20:03:57.760Z
3140,,,,,51218204.06,50716251.84,12517.79,2020-01-04T00:00:00.000Z,,2baab26c859425533ef9bec39ea218cc,2020-01-04T03:23:29.565Z
3078,,,,,,,,,,e9e99ba37c7f69b0f246f3d267f23859,2019-12-09T15:26:09.399Z
3165,,,,,21065441.93,21065441.93,,2020-01-04T00:00:00.000Z,,105e5364a2cdd5d0aec94828d7eae31e,2020-01-04T03:23:29.572Z
3103,,,,,,,,,,b85b6444c4c57ade40ab46066ae720f4,2019-12-09T15:26:09.410Z
3043,,,,,,,,,,a54696dcc7e894a347994938f4ca4c12,2019-10-10T20:03:57.823Z
3128,,,,,,,,,,c3d7d0e2081d186517bb70f60cfb978c,2019-10-10T20:03:57.810Z
3068,,,,,,,,,,dad5ed1ef49e3e1c894a1d9184d8fbb7,2019-10-10T20:03:58.146Z
3153,,,,,3101637.94,3101637.94,,2020-01-04T00:00:00.000Z,,24ecaf5516dd91022c8199e406515c42,2020-01-04T03:23:29.582Z
3093,,,,,,,,,,c266fbc6eecbe615c2502fb38ae90f4e,2019-10-10T20:03:57.785Z
3135,,,,,9848417.16,9838265.65,,2020-01-04T00:00:00.000Z,,b677c3cf63693f699ede470f7ed39318,2020-01-04T03:23:29.573Z
3160,,,,,9209100.46,9139348.13,,2020-01-04T00:00:00.000Z,,ea2c669e054061858a7f26c10f39149d,2020-01-04T03:23:29.579Z
3167,,,,,1301755.4,1296992.34,,2020-01-04T00:00:00.000Z,,280827ba180236d449c3d77ed4e86748,2020-01-04T03:23:29.584Z
3063,,,,,,,,,,1544a125fb745923dab257e1d89fcc0b,2019-10-10T20:03:58.163Z
3088,,,,,,,,,,d795776718d512a3403ed3f5a777fab8,2019-10-10T20:03:57.747Z
3118,,,,,,,,,,1da1aa2e965d57b278df7a74003f8ba0,2019-12-09T15:26:09.409Z
3113,,,,,,,,,,e3828c8e082044cf82527182460ff6bf,2019-12-09T15:26:08.996Z
3143,,,,,3630431.12,3683064.34,0,2020-01-04T00:00:00.000Z,,881444a61b3514db32eafaac9276a6dc,2020-01-04T03:23:29.362Z
3138,,,,,3132714.82,3132714.82,,2020-01-04T00:00:00.000Z,,793afaf80c98b03ff2338f8101350122,2020-01-04T03:23:29.573Z
3163,,,,,5380816.01,5369403.69,,2020-01-04T00:00:00.000Z,,a7a67cf9370f7a29b3f6d0d0d564e136,2020-01-04T03:23:29.576Z
3168,,,,,,,,,,ffdd96ca127f448aeab0c4bf2a2630bc,2019-10-10T20:03:58.146Z
3173,,,,,16025623.46,16064502.88,,2020-01-04T00:00:00.000Z,,cabbed3050ce0fea5f0982e224b4a972,2020-01-04T03:23:29.565Z
3187,,,,,1597088.45,1616903.05,,2020-01-04T00:00:00.000Z,,f0f6e5da07cdc6fbdeac91cb59722d9a,2020-01-04T03:23:29.576Z
3198,,,,,8636637.81,8695049.44,,2020-01-04T00:00:00.000Z,,83968d91b72a03194ee37f7d07cc53cc,2020-01-04T03:23:29.564Z
3202,,,,,1690912.41,1706333.77,,2020-01-04T00:00:00.000Z,,5424121f7fa6c2cd7cdc9efb952231e6,2020-01-04T03:23:29.562Z
3227,,,,,1730746.78,1576631.54,,2020-01-04T00:00:00.000Z,,b85eeb5224df384a3276225d4765127f,2020-01-04T03:23:29.573Z
3252,,,,,5854973.22,5855580.73,,2020-01-04T00:00:00.000Z,,556300ebb27973ff8df5fe1ce44ba2ac,2020-01-04T03:23:29.360Z
3277,,,,,15338277.73,15399918.36,,2020-01-04T00:00:00.000Z,,2eeb2b1612af61aed6514e1547fbecbd,2020-01-04T03:23:29.738Z
3177,,,,,2288670.82,2288670.82,,2020-01-04T00:00:00.000Z,,8e48b5f0ef89caaab680ff952126b777,2020-01-04T03:23:29.575Z
3192,,,,,9529091.7,9566291.2,,2020-01-04T00:00:00.000Z,,4fd703fdbc499de9c5a14222c58e103e,2020-01-04T03:23:29.578Z
3197,,,,,5819086.32,5858474.55,,2020-01-04T00:00:00.000Z,,695ddfa78a3f7d0798af7f80ef7f5b09,2020-01-04T03:23:29.575Z
3207,,,,,3611491.49,3658114.66,,2020-01-04T00:00:00.000Z,,2eb8e2670fc4cc38bf7cf9e45eabdf1a,2020-01-04T03:23:29.574Z
3232,,,,,1816226.9,1767855.18,,2020-01-04T00:00:00.000Z,,8122599d935d704f6b8b895d59088d33,2020-01-04T03:23:29.563Z
3257,,,,,360856.81,334565.71,,2020-01-04T00:00:00.000Z,,cb0d1cbb8d1b97f0409ecbd53457213c,2020-01-04T03:23:29.575Z
3186,,,,,5419372.81,5196152.24,,2020-01-04T00:00:00.000Z,,df7bde3cdd272ca4ac01f25aa50c178e,2020-01-04T03:23:29.583Z
3211,,,,,2080378.21,2112182.01,,2020-01-04T00:00:00.000Z,,04a6a6104a895aabd252d86bbb5853cc,2020-01-04T03:23:29.574Z
3208,,,,,1099729.89,1121727.2,,2020-01-04T00:00:00.000Z,,acf93a25a1989e0055055c16fc2e53d6,2020-01-04T03:23:29.581Z
3233,,,,,5307714.12,5339636.18,,2020-01-04T00:00:00.000Z,,e503a7eed6913695ccea9f52df28f563,2020-01-04T03:23:29.584Z
3258,,,,,9887.4,9887.4,,2020-01-04T00:00:00.000Z,,d382140b03b4f9de9c7070f5ab07e595,2020-01-04T03:23:29.570Z
3283,,,,,5046066.37,5013490.12,3156.11,2020-01-04T00:00:00.000Z,,145a6e446f145fb07fa79dde52d534e5,2020-01-04T03:23:29.723Z
3172,,,,,411357.84,397754.33,,2020-01-04T00:00:00.000Z,,439a3e213ab5eca202f2d53fbe6c397a,2020-01-04T03:23:29.578Z
3183,,,,,3570334.69,3580882.64,,2020-01-04T00:00:00.000Z,,9dce0518f8cbf462a54ba9b665277f75,2020-01-04T03:23:29.570Z
3203,,,,,6273609.34,6336868.61,,2020-01-04T00:00:00.000Z,,4544a08089e3fcf6e6987d6f200f6bba,2020-01-04T03:23:29.584Z
3212,,,,,,,,,,f4c7b19c3623d3c77a971cf53e1c3e1d,2019-10-10T20:03:57.816Z
3237,,,,,3021165.34,2885724.12,,2020-01-04T00:00:00.000Z,,f9dd56d71adec0cf08abf1d9c628a5f9,2020-01-04T03:23:29.564Z
3262,,,,,2760835.92,2715422.87,,2020-01-04T00:00:00.000Z,,7a3f264e1eb9e61c1ef590ece09b35ec,2020-01-04T03:23:29.583Z
3178,,,,,1771535.48,1771535.48,,2020-01-04T00:00:00.000Z,,bfe86ef1d4232ba3aa37631b1edf5cb1,2020-01-04T03:23:29.359Z
3188,,,,,1480656.94,1429103.93,,2020-01-04T00:00:00.000Z,,a393dc78eb8ca57e4e0dc15f225179c7,2020-01-04T03:23:29.581Z
3176,,,,,8932169.87,8908770.48,,2020-01-04T00:00:00.000Z,,349578f6fcb29efe50bf23af4d68377d,2020-01-04T03:23:29.571Z
3191,,,,,35683865.83,35662121.08,,2020-01-04T00:00:00.000Z,,b38853e1d58a950efdfce6dc9d3e53dc,2020-01-04T03:23:29.570Z
3216,,,,,519293968.26,520684659.9,,2020-01-04T00:00:00.000Z,,b0c9674408cd09604eeebe2fa9f22cfa,2020-01-04T03:23:29.562Z
3213,,,,,,,,,,a7b89e89b86523fa06101e193f3d4a85,2019-10-10T20:03:58.139Z
3238,,,,,2130479.17,2102653.47,,2020-01-04T00:00:00.000Z,,659937f208d93592444ee183672b3a25,2020-01-04T03:23:29.573Z
3263,,,,,95418.65,100286.15,,2020-01-04T00:00:00.000Z,,448b5727aad36e0c87b612ff4b64d7be,2020-01-04T03:23:29.576Z
3288,,,,,8915740.63,8889346.45,25932.75,2020-01-04T00:00:00.000Z,,6092311c2bce6580c9f67813775da63d,2020-01-04T03:23:29.581Z
3256,,,,,51276.45,51276.45,,2020-01-04T00:00:00.000Z,,490506ca3e08ce374755b92827258bf1,2020-01-04T03:23:29.574Z
3281,,,,,,,,,,e069683203adc5b9bb4041d9cf9e16a5,2019-10-10T20:03:58.161Z
3306,,,,,2961508.24,2865215.24,0,2020-01-04T00:00:00.000Z,,fddd47c2637fa0da97f55d3471dbf441,2020-01-04T03:23:29.585Z
3313,,,,,,,,,,905313418a22aa1d176f15f1c897ef99,2019-10-10T20:03:58.139Z
3339,,,,,,,,,,9f40ab999da6ccf74fcabd3437c7f531,2019-10-10T20:03:58.103Z
3364,,,,,,,,,,b0491fd0aed0820a2e894da879523732,2019-10-10T20:03:58.163Z
3389,,,,,585571.92,538731.49,,2020-01-04T00:00:00.000Z,,eae45af1cf0793545540a5aad4566ed9,2020-01-04T03:23:29.734Z
4016,,,,,5743591.77,1591500.78,3912611.78,2020-01-04T00:00:00.000Z,,050db551bed6317d9d122371aab88de6,2020-01-04T03:23:29.722Z
3189,,,,,4948995.65,4979702.46,-44312.97,2020-01-04T00:00:00.000Z,,366d4936f26756419a9b6d0bba89ab84,2020-01-04T03:23:29.581Z
3185,,,,,6136470.94,6169487.3,,2020-01-04T00:00:00.000Z,,3a28eb3d1ab014550af670031d0686b8,2020-01-04T03:23:29.572Z
3251,,,,,1565130.68,1541834.68,,2020-01-04T00:00:00.000Z,,eb68129165f6d7d38b860c7fcef861e2,2020-01-04T03:23:29.580Z
3276,,,,,79259.86,79259.86,,2020-01-04T00:00:00.000Z,,ef5a2532dee67568c03ba8c02b67c915,2020-01-04T03:23:29.737Z
3301,,,,,,,,,,c6223028c765916b8fef6d6b5ce8b2d9,2019-10-10T20:03:58.202Z
3308,,,,,,,,,,6207fd264d20e6fbf4d2e763c34ec60b,2019-10-10T20:03:58.165Z
3334,,,,,,,,,,b48c102a656640cdde2e991ba2b8dcc8,2019-10-10T20:03:58.166Z
3206,,,,,3998836.12,3998836.12,,2020-01-04T00:00:00.000Z,,e90086ac1ee600cc9cd8539658f028cf,2020-01-04T03:23:29.584Z
3359,,,,,,,,,,8669235963f25f4bdf7e6111009c8166,2019-10-10T20:03:58.180Z
3231,,,,,2008550.19,1959623.64,,2020-01-04T00:00:00.000Z,,36d56c7fed9f0d768b86872b7a71df94,2020-01-04T03:23:29.582Z
3384,,,,,26222567.17,25293120.34,,2020-01-04T00:00:00.000Z,,4bc8f8bd5f9cd9865a02046ab049252a,2020-01-04T03:23:29.723Z
3228,,,,,940482.93,885986.59,,2020-01-04T00:00:00.000Z,,8d5bb2f0b0230edb3a87db6438ee0ccd,2020-01-04T03:23:29.577Z
4011,,,,,7738769.52,4082391.5,3388879.85,2020-01-04T00:00:00.000Z,,bc4e025e34a5049f83727daa248e9618,2020-01-04T03:23:29.735Z
3253,,,,,119960.41,91753.3,,2020-01-04T00:00:00.000Z,,6aef471636e5c4ea32f566e1280cfec8,2020-01-04T03:23:29.582Z
3184,,,,,33681870.19,33756135.67,,2020-01-04T00:00:00.000Z,,d7818ef0ac5bcdf7da12e1cf6865e2bc,2020-01-04T03:23:29.579Z
3278,,,,,3560273.15,3592835.96,,2020-01-04T00:00:00.000Z,,fad4a362f93f92777d5d3799f6a00966,2020-01-04T03:23:29.738Z
3180,,,,,20980672.39,20837177.31,,2020-01-04T00:00:00.000Z,,1d12a4c3f40e1fbf5e175fabb18979d6,2020-01-04T03:23:29.565Z
3246,,,,,668487.86,684198.67,,2020-01-04T00:00:00.000Z,,ab5e20e8fae7312b414c5550d987efbf,2020-01-04T03:23:29.580Z
