Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4407,CA,Los Angeles (County),MALIBU,90263,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),MALIBU,90265,908,599,553,37,9,0,380,"$2,318,849.60 ", $-   ,"$1,398,269.57 ","$920,580 ",306,69,5,0
4407,CA,Los Angeles (County),MONROVIA,91016,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),NORTH HILLS,91343,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),NORTH HOLLYWOOD,91601,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),NORTHRIDGE,91326,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),PACIFIC PALISADES,90272,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),PALMDALE,93552,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),POMONA,91768,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),PORTER RANCH,91326,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),REDONDO BEACH,90277,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SAN DIEGO,92109,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SANTA CLARITA,91350,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SANTA MONICA,90401,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SANTA MONICA,90402,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SANTA MONICA,90403,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SANTA MONICA,90405,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SHERMAN OAKS,91411,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SHERMAN OAKS,91423,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),SYLMAR,91342,3,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),THOUSAND OAKS,91360,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),TOPANGA,90290,10,5,5,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),VAN NUYS,91405,3,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),WEST HILLS,91304,3,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),WEST HILLS,91307,4,3,3,0,0,0,2,"$8,099.84 ", $-   ,"$5,536.00 ","$2,564 ",2,0,0,0
4407,CA,Los Angeles (County),WESTLAKE VILLAGE,91361,11,7,5,0,2,0,4,"$13,106.00 ", $-   ,"$13,106.00 ",$0 ,4,0,0,0
4407,CA,Los Angeles (County),WESTLAKE VILLAGE,91362,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),WHITTIER,90605,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),WOODLAND HILLS,91364,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),WOODLAND HILLS,91367,3,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),AGOURA HILLS,91301,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),BELL CANYON,91307,4,3,3,0,0,0,2,"$21,391.33 ", $-   ,"$12,562.00 ","$8,829 ",1,1,0,0
4407,CA,Ventura (County),CAMARILLO,93010,5,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),CAMARILLO,93012,4,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),MALIBU,90265,40,33,28,4,1,0,21,"$111,806.22 ", $-   ,"$77,293.89 ","$34,512 ",17,4,0,0
4407,CA,Ventura (County),NEWBURY PARK,91320,8,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),OAK PARK,91377,44,20,20,0,0,0,4,"$54,843.62 ", $-   ,"$53,662.00 ","$1,182 ",2,0,2,0
4407,CA,Ventura (County),OJAI,93023,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),OXNARD,93030,4,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
