Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4353,CA,Los Angeles (County),BURBANK,91501,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CANYON COUNTRY,91387,5, $-   ,3, $-   ,3,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CERRITOS,90703,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CHATSWORTH,91311,1,"$4,720.01 ",1,"$4,720.01 ",0,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),DOWNEY,90240,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),DOWNEY,90241,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),DOWNEY,90242,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GARDENA,90247,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GARDENA,90249,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDALE,91202,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDALE,91206,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDALE,91207,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GRANADA HILLS,91344,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),INGLEWOOD,90302,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),KAGEL CANYON,91342,5,$167.35 ,3,$502.04 ,2,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LA CANADA FLINTRIDGE,91011,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKE VIEW TERRACE,91342,11,$652.74 ,4,"$2,610.95 ",1,3,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKEWOOD,90712,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93535,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93536,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LA PUENTE,91744,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90802,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90803,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90807,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELE,90016,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90001,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90004,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90013,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90016,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90019,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90024,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90025,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90028,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90031,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90033,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90036,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90045,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90047,3, $-   ,3, $-   ,3,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90049,4,"$9,659.94 ",2,"$19,319.87 ",1,0,1,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90061,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90065,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90066,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90077,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,91342,1,"$236,264.50 ",1,"$236,264.50 ",0,0,0,0,1,1,"$44,736.11 ","$34,000 ","$2,568 ","$8,168 ",0,0,1,0
4353,CA,Los Angeles (County),LOS ANGELES,91352,1, $-   ,1, $-   ,1,0,0,0,0,1,"$1,284.00 ",$0 ,"$1,284 ",$0 ,1,0,0,0
4353,CA,Los Angeles (County),MALIBU,90265,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),MANHATTAN BEACH,90266,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),MISSION HILLS,91345,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTH HOLLYWOOD,91605,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTH HOLLYWOOD,91606,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTHRIDGE,91325,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORWALK,90650,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PACIFIC PALISADES,90272,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PACOIMA,91331,3, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PANORAMA CITY,91402,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91103,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91104,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91105,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PICO RIVERA,90660,2, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),RESEDA,91335,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ROSEWOOD,90222,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAN DIMAS,91773,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAN FERNANDO,91342,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAN GABRIEL,91775,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
